thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
39.98545,13.66292,14.51286,15.4571,172.9003,zero
39.30213,13.8667,14.49671,15.43675,172.1395,zero
39.45596,13.81237,14.49646,15.42547,171.89831,zero
40.00723,13.54388,14.61384,15.58276,172.16171,zero
39.37304,13.53657,14.72265,15.62593,172.66511,zero
39.33763,13.78212,14.61676,15.49442,172.11646,zero
39.35266,13.70603,14.72768,15.57898,172.3709,zero
49.172,15.14693,13.17821,15.21457,160.36201,zero
49.93808,15.20008,13.40544,15.04052,160.05608,zero
49.52249,14.98094,13.29923,15.02605,161.37009,zero
52.57795,14.897,13.36093,15.02757,160.55041,zero
51.03989,14.9043,13.46168,14.98017,161.99608,zero
52.66843,16.67812,13.11426,14.08539,160.01121,zero
52.4362,16.3926,13.1603,14.31532,159.7724,zero
52.44688,16.58539,13.06062,14.26328,159.45205,zero
52.59384,16.4884,13.12921,14.2855,159.11551,zero
52.8069,16.34278,13.33615,14.33354,158.01141,zero
30.20508,31.84249,14.75726,16.35912,62.49411,zero
27.17366,32.87775,14.81597,16.71034,60.40001,zero
28.5323,31.82127,14.64118,16.70623,59.78609,zero
25.89675,34.74944,14.67842,16.60461,59.56437,zero
26.60765,34.48199,14.46586,16.64651,59.51104,zero
25.84841,34.67356,14.62435,16.45591,58.57518,zero
26.47713,33.50109,14.91823,16.29321,58.2025,zero
25.97748,33.92183,14.9987,16.28947,58.02692,zero
26.95547,33.4481,14.91462,16.20008,58.18283,zero
26.72028,33.98791,14.96859,16.22759,58.36801,zero
38.22091,18.87779,15.58739,17.57866,43.75365,zero
39.01024,18.70991,15.28908,17.70432,42.97905,zero
32.77457,25.2302,13.69102,17.86042,43.54928,zero
32.39052,25.29005,14.0325,17.78053,43.9842,zero
35.04904,22.83225,14.08078,17.87018,43.59357,zero
36.62932,21.48643,14.20979,17.91384,43.04985,zero
33.6659,24.12071,13.88267,17.85365,43.24926,zero
33.78125,23.60558,14.31254,17.54952,44.05163,zero
36.48111,21.76948,14.32656,17.69641,44.61933,zero
37.82212,19.96626,15.20068,17.75266,44.63468,zero
30.10077,22.6399,14.96688,16.33996,50.10397,zero
30.17165,22.05408,14.91566,16.31868,50.07081,zero
