thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
17.18715,87.20539,32.82317,35.8903,108.37958,okay
17.27593,87.4855,32.77722,35.80266,108.68056,okay
13.50546,83.89548,29.18282,37.54302,137.57853,okay
13.27024,84.60579,29.6831,37.92742,138.05331,okay
14.43844,83.92383,29.87579,38.61736,139.03211,okay
15.19408,83.85727,29.72009,38.85593,138.94599,okay
14.51172,84.21508,29.60731,38.26402,138.39068,okay
13.80552,85.02392,29.89271,37.71325,138.60212,okay
13.86721,84.54073,30.22025,37.21559,139.2714,okay
14.58064,83.74158,30.3336,36.86965,140.03584,okay
14.91541,83.89477,30.87817,36.68227,140.59084,okay
14.95844,83.47726,31.10658,36.45877,140.89925,okay
19.60686,78.77921,35.05125,39.0911,132.22795,okay
19.29425,78.06653,35.08258,39.29166,132.62035,okay
19.10494,78.7011,34.87455,39.13942,132.72896,okay
19.29425,79.12601,34.66325,38.63272,132.45498,okay
19.36557,79.54794,34.73369,38.66751,132.39464,okay
19.54841,79.22123,34.60315,38.47934,132.29254,okay
19.43245,79.13738,34.70288,38.31707,132.11169,okay
19.28084,78.19676,34.60812,38.01553,132.32477,okay
19.38392,77.96897,34.39618,37.93575,132.47836,okay
19.32631,78.04633,34.37131,38.16193,132.58468,okay
22.5751,108.40258,29.89835,35.0328,139.64962,okay
23.22721,105.80615,30.07513,34.64424,138.94265,okay
23.10079,105.22668,29.75579,34.65015,139.06629,okay
22.96043,106.67764,29.26678,34.38895,139.43522,okay
22.86818,106.87303,29.37047,34.46202,139.65934,okay
23.19961,105.34957,29.70714,34.41938,139.62472,okay
23.16036,106.99352,29.31261,34.37691,139.95523,okay
23.57627,107.97414,29.12064,34.56739,140.21225,okay
23.82287,107.72539,28.82109,34.5538,140.47416,okay
23.56651,107.5677,28.83933,34.22874,140.0452,okay
18.09875,94.99476,32.68138,39.37883,120.38307,okay
17.01867,98.63081,33.21055,40.05301,120.45942,okay
17.35406,102.7475,33.62802,40.45481,120.3646,okay
17.76885,103.48104,33.5576,40.32209,120.50408,okay
17.76673,103.77971,33.53213,40.34099,120.65431,okay
18.21268,104.585,33.59201,40.38909,120.51012,okay
18.81157,104.90469,33.51495,40.06458,120.43432,okay
19.17137,104.10062,33.04789,39.1052,121.25975,okay
17.6613,100.52053,32.39647,38.47554,120.43427,okay
17.4451,99.39695,32.46696,38.60277,120.51141,okay
13.09674,80.47115,27.75073,33.33675,116.8726,okay
13.17179,79.82613,27.55563,32.96411,116.91953,okay
12.63884,79.4615,27.30918,32.62117,117.19065,okay
12.39958,79.56556,27.43845,32.64436,117.18722,okay
12.05307,82.84578,27.56092,32.88988,117.59059,okay
11.45644,83.30218,27.5326,32.76079,117.51235,okay
11.50614,82.44476,27.42498,32.48749,117.3884,okay
12.32065,83.9995,27.319,32.8662,117.77488,okay
13.65856,87.24232,27.95713,32.93481,118.61674,okay
13.62351,87.51713,28.30396,33.08591,118.43672,okay
19.34526,75.93298,33.8054,37.19836,140.54293,okay
18.91811,75.20168,34.17759,37.44813,140.86452,okay
18.91084,75.18261,34.19367,37.53687,140.99868,okay
19.70906,76.59702,34.36371,37.73835,140.74426,okay
20.09157,77.57239,34.50448,37.75217,140.33405,okay
19.26189,78.24589,34.62723,37.69129,139.9236,okay
19.13006,78.23797,34.1599,37.43946,139.8927,okay
18.88056,76.94107,33.95056,37.20368,140.12353,okay
19.6516,77.76701,33.82811,37.48536,139.78019,okay
19.24404,77.73212,33.60826,37.48223,139.67681,okay
